Room;Name;Description;Painting;Audio;Caption;Photo;Caption1
G;Graphite;Graphite, like diamond, is composed exclusively of carbon. It is traditionally used to make pencil leads. Charcoal and black chalks were the main tools for artists until the 18th century. It was with them that they made preparatory drawings before painting. It was in the 16th century that a few painters began to take an interest in graphite. Indeed, it allows for sketches that are much easier to make disappear under paint than black chalks or charcoal.;graphite.jpg;graphite.mp3;Jean Cocteau(1889-1963), Visage et Rose, 2 drawings in graphite pencil on paper;graphite.png;Graphite, Canada, Gift of G-A Daubrée 89
G;Native gold;Gold was mainly used to create backgrounds but could also be used in certain details such as fabrics or ornamentations. To apply leaf gilding, a layer of red clay mixed with egg was first deposited and left to dry, before being rubbed with a dog's tooth and then wiped with linen. Another way to achieve gilding is to grind native gold and then mix it into oil. Gilding can also be done a tempera, by grinding the gold in water and then mixing it with egg and glue.;or natif.jpg;or natif.mp3;L'annonciation Simone Martini de Sienne 1333;or natif.png;Gold, Cirque Ipoucin, French Guiana, Gift of Trésor Nature 16570
G;Sulfur;Sulfur enters into the composition of vermilion. By mixing mercury and sulfur, a mercury sulfide is manufactured, which exists naturally under the name of cinnabar. The use of vermilion, a synthetic pigment, is attested in Greece, China, and Rome in antiquity. The manufacturing secret was lost after the collapse of the Roman Empire, then rediscovered and imported to the West by the Arabs.;soufre.jpg;soufre.mp3;Fresque de la Villa des mystères in Pompeii. Approx. 70 BC;soufre.png;Sulfur, Giona Mine, Agrigento, Sicily, Italy 14221
H;Chalcopyrite;Chalcopyrite is an iron and copper sulfide. It was precisely while studying copper that Carl Wilhelm Scheele discovered this new pigment by mixing the copper derived from chalcopyrite and the arsenic provided by orpiment. He thus produced a copper and arsenic salt, hydrogen arsenite, which would be used in painting but also to tint wallpapers and clothing. Even though it is known that Paul Cézanne still used this pigment, Scheele's green was gradually replaced from the 19th century onwards by emerald green, which was no less toxic than the previous one.;chalcopyrite.jpg;chalcopyrite.mp3;Scheele's green jacket, Journal des Dames et des Modes, 1797;chalcopyrite.png;Chalcopyrite, Redruth, Cornwall, United Kingdom 303
H;Sphalerite;In the 19th century, two yellows were in competition: barium yellow, obtained from barite, and zinc yellow, whose main ore is sphalerite. They competed with the numerous lead-containing yellows (recognized as toxic) that emerged around the same time. Georges Seurat used it in his famous « Un dimanche après-midi sur l'île de la Grande Jatte ». He did not know that the zinc yellow or zinc chromate he used in the pale green lawns was highly unstable and darkened rapidly.;sphalerite.jpg;sphalerite.mp3;Georges Seurat, Un dimanche après-midi sur l'île de la Grande Jatte (1884-86). Oil on canvas, 208x308cm, Art Institute, Chicago;sphalerite.png;Sphalerite, Schemnitz, Banská Štiavnica, Banská Bystrica, Slovakia 258
H;Galena;Galena is a lead sulfide and was mainly used for extracting the element lead for white lead when it carbonated in the Middle Ages. Galena was also introduced in the 13th century for the manufacture of lead-tin yellow. It was used until the 18th century. To obtain it, cassiterite (tin oxide) and quartz (a source of silica) are also required. This yellow is indeed a lead tin silicon oxide. Leonardo da Vinci used this pigment to paint the Mona Lisa.;galene.jpg;galene.mp3;Portrait de Sogismond Malatesta, seigneur de Rimini (1417-1468) 1450/75 Piero della Francesca;galene.png;Galena, Ottawa Co., Oklahoma, USA, Gift of C. Guillemin 5104
H;Stibnite;In 1740, lead antimonate, known as Naples yellow, was invented. It is made from an antimony sulfide, stibnite. This relatively rare mineral had nevertheless been known for a long time in cosmetics, as it was a component of kohl. To make this Naples yellow, a source of lead was also needed: galena. By varying the proportions between antimony sulfide and lead, this yellow could approach an orange hue. Due to the presence of lead and antimony, one can easily imagine the toxicity of Naples yellow for artists.;stibnite.jpg;stibnite.mp3;Jean-Frédéric Schall (1752-1825) jeune femme à la robe jaune;stibnite.png;Stibnite, Niccioleta, Grosseto, Tuscany, Italy 14376
H;Cinnabar;Vermilion is obtained from cinnabar, a mercury sulfide. The pigment is manufactured by crushing this mineral in a mortar, then washing it to remove impurities and heating it. This pigment has been used since antiquity in wall paintings. In the House of the Bicentenary in Herculaneum, Roman painters used cinnabar-based vermilion. It is found in the Middle Ages for illuminations. Later, Titian used it for his work Bacchus et Ariane.;cinabre.jpg;cinabre.mp3;Bacchus et Ariane (1523 The National Gallery, London);cinabre.png;Cinnabar, Nikitovka, Bakhmut, Donetsk, Ukraine, Gift of Auerbah 424
H;Cobaltite;It was by observing blue ceramics from the Sèvres manufactory that Louis-Jacques Thénard had the idea of creating a pigment that would be named Thénard's blue or cobalt blue. This blue has the advantage of being very stable, luminous, and suitable for watercolor. Van Gogh's letters to his brother attest to the use of cobalt blue, notably in his « Paysage avec couple marchant et croissant de lune ». Monet and Renoir were also major consumers of this pigment.;cobaltite.jpg;cobaltite.mp3;Auguste Renoir, En barque sur la Seine 1875 London National Gallery;cobaltite.png;Cobaltite, Tunaberg, Södermanland, Sweden 609
I;Orpiment;Orpiment, "gold pigment," was used to manufacture yellow pigment. It was mostly used in the Middle Ages in illuminations. As orpiment is an arsenic sulfide, it is also very dangerous to health. One of the famous victims of this pigment is said to be none other than Rosso Fiorentino who, after wrongly accusing a man, committed suicide out of shame by ingesting orpiment! He was a Florentine painter, an admirer of Michelangelo, and stayed in France at the court of Francis I in the 1530s.;orpiment.jpg;orpiment.mp3;Raban Maur Liber de laudibus Sanctae Crusis c. 814;orpiment.png;Orpiment, Getchell Mine, Humboldt Co., Nevada, USA 16079
I;Chromite;The most widely used yellow pigment at the end of the 19th century was chrome yellow. Today, this yellow poses serious problems for conservators since it is the one Van Gogh used for his series: Les Tournesols. Under the action of UV rays, this yellow degrades. Over time, the sunflowers turn brown! It is also supposed that Van Gogh's physical and mental health deteriorated even further from ingesting chrome yellow.;chromite.jpg;chromite.mp3;Van Gogh (1888-1889), Les Tournesols, van Gogh Museum;chromite.png;Chromite, Anna Madeleine, New Caledonia, France 16651
I;Magnetite;At the beginning of the 18th century, Heinrich Diesbach and Johann Conrad Dippel wanted to prepare a red dye but accidentally obtained a new blue color. This so-called Prussian blue was obtained by the action of iron(II) sulfate (FeSO4) on potassium carbonate (K2CO3) that contained a yellow cyanide. It is one of the first artificial pigments obtained. The source of iron was initially blood. Today it is an iron ore such as magnetite, an iron oxide.;magnetite.jpg;magnetite.mp3;Thomas Gainsborough (1727-1788) Portrait of Mrs.Richard Brinsley Sheridan;magnetite.png;Magnetite, Tilly Foster Mine, Brewster, New York, USA, Gift of Eckley B. Coxe 864
I;Quartz;The preparation of Egyptian blue/green remained a mystery for centuries. It was not until the 20th century that the manufacture of the first synthetic pigment was understood. It requires 70% quartz (SiO2), 20% malachite (copper carbonate), 10% calcite (calcium carbonate), and 1% natron (sodium carbonate). The mixture is reduced to powder. Water is added to make a paste, which is dried and then heated to a temperature between 870 and 1000°C. The resulting crystals are cuprorivaite. The blue or green color depends on the proportions of the constituents and the firing temperature.;quartz.jpg;quartz.mp3;;quartz.png;Quartz, Herkimer Co, New York, USA
I;Hematite;To obtain a red pigment, an iron ore containing Fe3+ is required. Hematite can then be used. It is an iron oxide found in Paleolithic cave painting. To serve as a pigment, hematite must be ground. When finer, its red color appears. The red pigments in the Chauvet cave are undoubtedly made from hematite because analyses attest to the use of an iron oxide. 30,000 years before our era, the humans who created the impressive bestiary of these caves used both their hands to apply the color, and also sprayed it by blowing it onto the walls. This is how the negative hand paintings were made.;hematite.jpg;hematite.mp3;Main négative Paleolithic Pech Merle Lot;hematite.png;Hematite, Elba Island, Tuscany, Italy, Gift of Gallois 979
K;Rutile;Titanium white was manufactured from rutile and anatase, which are relatively rare minerals. This pigment is undoubtedly one of the brightest in a painter's palette at the beginning of the 20th century. Its use has generalized up to the present day. Indeed, it retains all its opacity with all binders, including in acrylic paints. Nevertheless, its disadvantage is that it induces, in certain cases, a reaction with the binder. The paint can then yellow, crumble, and crack.;rutile.jpg;rutile.mp3;Vache blanche Jean Dubuffet 1954 Centre Pompidou;rutile.png;Remedios, Antioquia, Colombia, 70331
K;Goethite;It has been used for millennia, since the Paleolithic era, to paint caves and was subsequently found in ancient mural painting. By grinding it, yellow and orange shades are obtained. Its color changes from yellow to red then purple when heated to a very high temperature. In Egypt, in the very famous tomb of Tutankhamun, the pigment used to paint the yellow/ochre backgrounds was based on goethite. This mineral was named in honor of Goethe who was, though it is less well known, a brilliant mineralogist.;goethite.jpg;goethite.mp3;Fresque aux chevaux, Paleolithic Grotte Chauvet Ardèche;goethite.png;Goethite, Rimamurány, Salgótarján, Nógrád, Hungary 1423
K;Pyrolusite;Manganese oxides are numerous: cryptomelane, manganite, hollandite, psilomelane, pyrochroite. All of them, once ground, yield a black pigment. The results of X-ray fluorescence analyses of a dozen cave figures from the Rouffignac cave showed a systematic presence of manganese on the drawing lines, thus confirming the use of these minerals alongside charcoal or calcined bone.;pyrolusite.jpg;pyrolusite.mp3;Mammouth et bouquetin Paleolithic Rouffignac Dordogne;pyrolusite.png;Pyrolusite, Horní Blatná, Jáchymov, Czech Republic 1278
K;Calcite;Calcite is the mineralogical component of limestone and chalk. These rocks, easy to grind, were used in a mixture with plaster as white pigments or to lighten deep hues. Its use in the West spans from the Middle Ages to the present day, with heavy consumption during the Renaissance. In easel painting, it is applied during the application of preparatory layers. Painters do not paint directly onto the canvas or wood panels. These layers make it possible to unify the support and ensure the proper adhesion of colors.;calcite.jpg;calcite.mp3;Tombe de Rekhmirê, Luxor. Scene of the making of a granite statue, top left, a painter at work. After a drawing by Norman de Garis Davies (1935);calcite.png;Calcite, Dovar Debagh Cave, Rabat, Morocco 15611
L;Malachite;Malachite, copper carbonate, has been used since ancient Egypt as a green pigment. It is found, for example, in Giovanni Bellini's work L'Agonie dans le jardin. What is surprising is that malachite is found here as the pigment for Saint John's brown cloak! This color change is linked to the presence of copper, which reacted with the binder and caused the green intended by the painter to disappear.;malachite.jpg;malachite.mp3;l'Agonie dans le jardin de Giovanni Bellini(1458-60) National Gallery London;malachite.png;Malachite, Gumeshevsk, Sverdlovsk, Russia
L;Cerussite;Lead white is a highly opaque white that has been known since antiquity. It was intensively produced at the end of the 19th century, primarily for its antifungal properties. Before being intended for the creation of works of art, white lead paint was found on ship hulls or building doors and shutters. Lead white was also used to create rather pastel colors. Its significant toxicity has nevertheless been known since medieval times. This drawback would only become an obstacle to its use in the second half of the 20th century.;cerusite.jpg;cerusite.mp3;Pierrot,Antoine Watteau (1680-1721) 1718-19, oil on canvas, Musée du Louvre;cerusite.png;Cerussite, Mibladen, Drâa-Tafilalet, Morocco
L;Azurite;Azurite (copper carbonate) must not be confused with lazurite (silicate), which is much rarer and more precious. This mineral presents a color that is less stable over time, shifting toward green (transformation into malachite). It was, however, widely used in the Middle Ages and the Renaissance. In the works of Fra Angelico, azurite is used to color ceilings and skies, while lazurite was only used for the Marian robe. With the arrival of new pigments, both minerals would subsequently be used less and less.;azurite.jpg;azurite.mp3;Saint Luc, 15th century, BM ms 5995 folio 35r;azurite.png;Azurite, Chessy, Rhône, France 2449
M;Gypsum;Gypsum is a hydrated calcium sulfate with which plaster is made after heating to 120°C. In easel painting, it was used as a preparatory layer. The gypsum layer in Italian painting is called gesso. A glue, often of animal origin, was added to the gypsum. Titian, the famous Venetian painter, applied this layer of gesso, but unlike many other painters, he did not cover it with a colored background. He developed his compositions directly on this white background.;gypse.jpg;gypse.mp3;Mort d'Actéon de Titien (1559-1575) National Gallery London;gypse.png;Gypsum, Billisio Solfare, Pesaro, Marche, Italy
N;Turquoise;The painters of ancient Egypt had few pigments at their disposal. Only blue and green were developed using a sophisticated process. But various minerals were available. Studies by the permanent mission of the CNRS in Karnak have demonstrated that the yellow pigments used by the Egyptians contained, among other minerals, hornblende, an amphibole silicate. Turquoise, a copper and aluminum phosphate, provided a light blue once ground.;turquoise.jpg;turquoise.mp3;Reconstruction Salle hypostyle de Karnak G.Homman;turquoise.png;Turquoise, Hubei, China 13180
O;Bitumen;The "Romantics" (Géricault, Delacroix, Gros...) used bitumen for very dark brown hues. But bitumen poses a problem in the preservation of paint because it tends to crack as it dries. Delacroix used it massively in his works, sometimes wrongly, which made some of them very dark. La mort de Sardanapale (1827) is one of his works severely criticized by the Academy of Painting and Sculpture. The massive use of bitumen makes it a very dark work with a poorly legible composition.;bitume.jpg;bitume.mp3;Delacroix, La mort de Sardanapale (1827) Louvre Paris;bitume.png;Bitumen, Pont-du-Château, Puy-de-Dôme, France 6023
O;Lazurite;Lazurite is the blue mineral in lapis lazuli. Ultramarine blue is obtained by grinding. Often coming from Afghanistan, it arrived by boat in Venice. Because its price was exorbitant, this blue was reserved solely for the representation of the garments of the Virgin or the King of France. Understanding this pigment with its very particular blue gave chemists a hard time, as they sought for several centuries to recreate it. In 1824, a competition was opened in France to achieve its synthesis. Jean-Baptiste Guimet won it by producing an ultramarine blue without depending on the importation and exploitation of lapis lazuli.;lazurite.jpg;lazurite.mp3;Mariage de CharlesIV, in 1322;lazurite.png;Lazurite, Afghanistan 5996
O;Clays;Clay minerals have been used since the dawn of humanity. Their behavior in the presence of water and the variety of colors they can take on make them a favored material for pictorial art. Along with goethite and hematite, it is the main constituent of ochre.;argiles.jpg;argiles.mp3;Bison Modelé dans l'argile au sol - Grotte de Bedeilhac - Photo Michel Lorblanchet;argiles.png;Ephesite, Postmasburg, Griqualand West, South Africa 15828